a,b,y
1.00,1.00,19.73
1.00,1.00,19.32
1.00,1.00,21.92
1.00,1.00,20.35
1.00,1.00,18.87
1.00,1.00,21.34
1.00,1.00,20.10
1.00,1.00,21.30
1.00,1.00,19.75
1.00,1.00,20.04
2.00,1.00,24.03
2.00,1.00,25.69
2.00,1.00,22.78
2.00,1.00,24.10
2.00,1.00,23.25
2.00,1.00,20.41
2.00,1.00,25.00
2.00,1.00,22.74
2.00,1.00,25.68
2.00,1.00,24.39
3.00,1.00,29.95
3.00,1.00,29.42
3.00,1.00,30.55
3.00,1.00,30.59
3.00,1.00,31.83
3.00,1.00,32.78
3.00,1.00,31.08
3.00,1.00,26.13
3.00,1.00,31.13
3.00,1.00,30.73
1.00,2.00,27.69
1.00,2.00,26.30
1.00,2.00,25.46
1.00,2.00,22.70
1.00,2.00,24.28
1.00,2.00,20.74
1.00,2.00,24.67
1.00,2.00,25.62
1.00,2.00,21.25
1.00,2.00,25.77
2.00,2.00,23.55
2.00,2.00,25.05
2.00,2.00,25.89
2.00,2.00,26.30
2.00,2.00,23.06
2.00,2.00,23.62
2.00,2.00,25.32
2.00,2.00,23.00
2.00,2.00,21.35
2.00,2.00,27.96
3.00,2.00,22.91
3.00,2.00,25.45
3.00,2.00,23.78
3.00,2.00,25.67
3.00,2.00,24.63
3.00,2.00,25.67
3.00,2.00,23.10
3.00,2.00,22.90
3.00,2.00,19.74
3.00,2.00,22.86
1.00,3.00,30.52
1.00,3.00,29.04
1.00,3.00,26.25
1.00,3.00,28.38
1.00,3.00,29.89
1.00,3.00,26.14
1.00,3.00,27.79
1.00,3.00,28.72
1.00,3.00,27.44
1.00,3.00,26.52
2.00,3.00,23.29
2.00,3.00,26.87
2.00,3.00,22.48
2.00,3.00,26.01
2.00,3.00,24.21
2.00,3.00,25.97
2.00,3.00,26.01
2.00,3.00,22.99
2.00,3.00,25.79
2.00,3.00,29.35
3.00,3.00,25.67
3.00,3.00,22.86
3.00,3.00,24.20
3.00,3.00,23.89
3.00,3.00,21.50
3.00,3.00,19.64
3.00,3.00,25.44
3.00,3.00,19.19
3.00,3.00,24.24
3.00,3.00,20.88
