message,mood,focus,y
1.00,1.00,1.00,57.00
1.00,1.00,1.00,48.00
1.00,1.00,1.00,53.00
1.00,1.00,1.00,54.00
1.00,1.00,1.00,50.00
1.00,1.00,1.00,50.00
1.00,1.00,1.00,51.00
1.00,1.00,1.00,61.00
1.00,1.00,1.00,55.00
1.00,1.00,1.00,48.00
1.00,1.00,2.00,50.00
1.00,1.00,2.00,54.00
1.00,1.00,2.00,47.00
1.00,1.00,2.00,52.00
1.00,1.00,2.00,44.00
1.00,1.00,2.00,53.00
1.00,1.00,2.00,57.00
1.00,1.00,2.00,51.00
1.00,1.00,2.00,53.00
1.00,1.00,2.00,52.00
1.00,2.00,1.00,59.00
1.00,2.00,1.00,58.00
1.00,2.00,1.00,62.00
1.00,2.00,1.00,65.00
1.00,2.00,1.00,63.00
1.00,2.00,1.00,59.00
1.00,2.00,1.00,59.00
1.00,2.00,1.00,56.00
1.00,2.00,1.00,57.00
1.00,2.00,1.00,57.00
1.00,2.00,2.00,51.00
1.00,2.00,2.00,47.00
1.00,2.00,2.00,49.00
1.00,2.00,2.00,45.00
1.00,2.00,2.00,51.00
1.00,2.00,2.00,53.00
1.00,2.00,2.00,58.00
1.00,2.00,2.00,53.00
1.00,2.00,2.00,45.00
1.00,2.00,2.00,60.00
2.00,1.00,1.00,48.00
2.00,1.00,1.00,42.00
2.00,1.00,1.00,51.00
2.00,1.00,1.00,47.00
2.00,1.00,1.00,57.00
2.00,1.00,1.00,53.00
2.00,1.00,1.00,48.00
2.00,1.00,1.00,50.00
2.00,1.00,1.00,52.00
2.00,1.00,1.00,43.00
2.00,1.00,2.00,53.00
2.00,1.00,2.00,62.00
2.00,1.00,2.00,52.00
2.00,1.00,2.00,60.00
2.00,1.00,2.00,59.00
2.00,1.00,2.00,64.00
2.00,1.00,2.00,44.00
2.00,1.00,2.00,58.00
2.00,1.00,2.00,58.00
2.00,1.00,2.00,57.00
2.00,2.00,1.00,53.00
2.00,2.00,1.00,52.00
2.00,2.00,1.00,40.00
2.00,2.00,1.00,46.00
2.00,2.00,1.00,51.00
2.00,2.00,1.00,44.00
2.00,2.00,1.00,39.00
2.00,2.00,1.00,49.00
2.00,2.00,1.00,55.00
2.00,2.00,1.00,40.00
2.00,2.00,2.00,45.00
2.00,2.00,2.00,54.00
2.00,2.00,2.00,49.00
2.00,2.00,2.00,50.00
2.00,2.00,2.00,46.00
2.00,2.00,2.00,46.00
2.00,2.00,2.00,57.00
2.00,2.00,2.00,47.00
2.00,2.00,2.00,52.00
2.00,2.00,2.00,55.00
