A,B,X,Y
1,1,87,43
1,1,56,54
1,1,79,55
1,1,62,61
1,1,81,69
1,2,73,54
1,2,61,64
1,2,80,51
1,2,87,52
1,2,67,59
1,3,62,64
1,3,71,50
1,3,83,49
1,3,66,57
1,3,56,68
1,4,71,49
1,4,64,81
1,4,67,71
1,4,73,73
1,4,74,89
2,1,44,54
2,1,66,54
2,1,78,67
2,1,49,50
2,1,90,87
2,2,41,49
2,2,53,70
2,2,63,75
2,2,67,70
2,2,56,61
2,3,62,68
2,3,84,82
2,3,81,60
2,3,67,61
2,3,86,76
2,4,67,78
2,4,80,80
2,4,67,78
2,4,62,62
2,4,62,79
3,1,78,63
3,1,71,59
3,1,61,67
3,1,51,27
3,1,61,53
3,2,55,69
3,2,59,65
3,2,70,66
3,2,75,71
3,2,73,46
3,3,72,82
3,3,81,66
3,3,58,88
3,3,54,82
3,3,69,64
3,4,61,82
3,4,58,95
3,4,84,88
3,4,78,63
3,4,57,88
