R1V1B1,R1V1B2,R1V1B3,R1V1B4,R1V1B5,R2V1B1,R2V1B2,R2V1B3,R2V1B4,R2V1B5,R1V2B1,R1V2B2,R1V2B3,R1V2B4,R1V2B5,R2V2B1,R2V2B2,R2V2B3,R2V2B4,R2V2B5
3,3,4,6,4,4,2,3,6,3,1,2,2,1,3,4,4,4,4,4
4,5,4,2,3,4,4,3,3,4,2,1,1,2,4,2,3,2,1,2
6,6,2,3,7,1,3,6,5,1,3,1,1,4,4,5,1,5,4,2
3,4,4,4,4,4,4,3,3,4,2,2,2,2,4,3,3,2,2,3
4,4,2,5,4,3,3,3,3,5,1,3,2,2,6,4,3,3,3,2
3,4,5,4,4,4,4,3,3,3,4,4,5,4,6,3,3,3,4,4
3,4,4,3,4,4,4,3,3,4,3,2,2,2,4,3,3,3,3,3
3,4,4,5,4,4,5,3,2,3,3,2,2,2,4,2,4,2,3,3
5,3,5,3,3,4,2,4,4,3,1,3,3,2,6,2,2,3,4,4
5,4,5,4,4,4,4,3,3,4,2,3,3,3,4,3,4,3,4,3
