verbal,squality,tquality,sbackground,pbackground
7.40,7.60,5.32,17.20,2.90
5.30,5.80,4.88,-1.70,2.00
7.30,5.90,5.14,22.30,6.90
8.10,5.80,5.15,24.20,6.50
7.40,6.10,5.08,16.30,3.00
6.70,4.10,4.32,16.20,4.50
8.30,5.00,4.98,22.70,7.70
6.70,4.90,5.00,9.80,2.50
8.20,6.20,5.32,19.90,6.50
7.40,4.80,5.60,10.00,1.00
4.60,4.20,4.70,-2.90,1.20
7.00,5.00,4.72,10.90,2.20
6.90,4.40,4.90,14.80,1.40
6.60,5.30,5.16,9.00,3.20
4.50,5.40,5.04,-6.10,1.20
7.90,6.30,5.01,20.60,6.80
6.40,7.10,5.00,12.70,4.20
6.30,5.00,4.96,-1.10,1.70
8.60,5.40,5.11,25.10,8.60
8.20,4.70,5.10,22.80,7.70
