A,B,Y
1,1,97
1,1,120
1,1,133
1,1,113
1,1,122
1,1,118
1,2,106
1,2,106
1,2,111
1,2,81
1,2,102
1,2,61
1,3,90
1,3,90
1,3,101
1,3,84
1,3,110
1,3,86
1,4,99
1,4,116
1,4,112
1,4,90
1,4,109
1,4,102
2,1,131
2,1,121
2,1,130
2,1,89
2,1,106
2,1,102
2,2,89
2,2,98
2,2,96
2,2,98
2,2,117
2,2,94
2,3,80
2,3,76
2,3,98
2,3,67
2,3,73
2,3,87
2,4,84
2,4,99
2,4,95
2,4,104
2,4,119
2,4,97
3,1,92
3,1,85
3,1,100
3,1,101
3,1,105
3,1,106
3,2,77
3,2,109
3,2,93
3,2,85
3,2,89
3,2,98
3,3,109
3,3,108
3,3,87
3,3,88
3,3,99
3,3,88
3,4,88
3,4,98
3,4,60
3,4,83
3,4,89
3,4,106
