sub,message,mood,focus,Y
1,1,1,1,57
2,1,1,1,48
3,1,1,1,53
4,1,1,1,54
5,1,1,1,50
6,1,1,1,50
7,1,1,1,51
8,1,1,1,61
9,1,1,1,55
10,1,1,1,48
11,1,1,2,50
12,1,1,2,54
13,1,1,2,47
14,1,1,2,52
15,1,1,2,44
16,1,1,2,53
17,1,1,2,57
18,1,1,2,51
19,1,1,2,53
20,1,1,2,52
21,1,2,1,59
22,1,2,1,58
23,1,2,1,62
24,1,2,1,65
25,1,2,1,63
26,1,2,1,59
27,1,2,1,59
28,1,2,1,56
29,1,2,1,57
30,1,2,1,57
31,1,2,2,51
32,1,2,2,47
33,1,2,2,49
34,1,2,2,45
35,1,2,2,51
36,1,2,2,53
37,1,2,2,58
38,1,2,2,53
39,1,2,2,45
40,1,2,2,60
41,2,1,1,48
42,2,1,1,42
43,2,1,1,51
44,2,1,1,47
45,2,1,1,57
46,2,1,1,53
47,2,1,1,48
48,2,1,1,50
49,2,1,1,52
50,2,1,1,43
51,2,1,2,53
52,2,1,2,62
53,2,1,2,52
54,2,1,2,60
55,2,1,2,59
56,2,1,2,64
57,2,1,2,44
58,2,1,2,58
59,2,1,2,58
60,2,1,2,57
61,2,2,1,53
62,2,2,1,52
63,2,2,1,40
64,2,2,1,46
65,2,2,1,51
66,2,2,1,44
67,2,2,1,39
68,2,2,1,49
69,2,2,1,55
70,2,2,1,40
71,2,2,2,45
72,2,2,2,54
73,2,2,2,49
74,2,2,2,50
75,2,2,2,46
76,2,2,2,46
77,2,2,2,57
78,2,2,2,47
79,2,2,2,52
80,2,2,2,55
