Subject,Font,Item,Time
1,1,1,552
2,1,1,628
3,1,1,590
4,1,1,496
5,1,1,682
6,1,1,746
7,1,1,743
8,1,1,569
1,1,2,509
2,1,2,735
3,1,2,585
4,1,2,594
5,1,2,685
6,1,2,775
7,1,2,702
8,1,2,581
1,1,3,487
2,1,3,816
3,1,3,662
4,1,3,549
5,1,3,631
6,1,3,774
7,1,3,611
8,1,3,588
1,1,4,541
2,1,4,842
3,1,4,372
4,1,4,547
5,1,4,777
6,1,4,693
7,1,4,632
8,1,4,514
1,1,5,574
2,1,5,614
3,1,5,726
4,1,5,587
5,1,5,634
6,1,5,817
7,1,5,748
8,1,5,595
1,1,6,554
2,1,6,652
3,1,6,489
4,1,6,590
5,1,6,789
6,1,6,777
7,1,6,630
8,1,6,623
1,2,1,713
2,2,1,567
3,2,1,734
4,2,1,508
5,2,1,643
6,2,1,890
7,2,1,951
8,2,1,406
1,2,2,588
2,2,2,672
3,2,2,598
4,2,2,672
5,2,2,652
6,2,2,900
7,2,2,788
8,2,2,672
1,2,3,335
2,2,3,887
3,2,3,774
4,2,3,644
5,2,3,682
6,2,3,871
7,2,3,576
8,2,3,579
1,2,4,624
2,2,4,820
3,2,4,217
4,2,4,521
5,2,4,662
6,2,4,717
7,2,4,683
8,2,4,551
1,2,5,513
2,2,5,603
3,2,5,1034
4,2,5,593
5,2,5,841
6,2,5,888
7,2,5,684
8,2,5,775
1,2,6,767
2,2,6,587
3,2,6,615
4,2,6,598
5,2,6,768
6,2,6,844
7,2,6,606
8,2,6,623
