Subject,Method,Time,Score
11,1,1,82
21,1,1,72
31,1,1,43
41,1,1,77
51,1,1,43
61,1,1,67
12,2,1,71
22,2,1,89
32,2,1,82
42,2,1,56
52,2,1,64
62,2,1,76
13,3,1,84
23,3,1,84
33,3,1,76
43,3,1,84
53,3,1,67
63,3,1,61
11,1,2,48
21,1,2,70
31,1,2,35
41,1,2,41
51,1,2,43
61,1,2,39
12,2,2,53
22,2,2,67
32,2,2,84
42,2,2,56
52,2,2,44
62,2,2,74
13,3,2,80
23,3,2,72
33,3,2,54
43,3,2,66
53,3,2,69
63,3,2,67
11,1,3,41
21,1,3,51
31,1,3,30
41,1,3,61
51,1,3,21
61,1,3,30
12,2,3,50
22,2,3,76
32,2,3,83
42,2,3,55
52,2,3,44
62,2,3,64
13,3,3,75
23,3,3,63
33,3,3,57
43,3,3,61
53,3,3,55
63,3,3,55
11,1,4,53
21,1,4,45
31,1,4,12
41,1,4,31
51,1,4,29
61,1,4,40
12,2,4,62
22,2,4,68
32,2,4,71
42,2,4,45
52,2,4,52
62,2,4,74
13,3,4,77
23,3,4,81
33,3,4,61
43,3,4,77
53,3,4,69
63,3,4,61
