Subject,Mood,Item,RT
1,1,1,1584
1,1,2,1563
1,1,3,992
1,1,4,1404
1,1,5,754
1,2,1,1273
1,2,2,1821
1,2,3,1507
1,2,4,1321
1,2,5,1701
1,3,1,1636
1,3,2,2152
1,3,3,2051
1,3,4,2070
1,3,5,1584
2,1,1,776
2,1,2,1067
2,1,3,1355
2,1,4,1060
2,1,5,562
2,2,1,1115
2,2,2,1114
2,2,3,1158
2,2,4,1168
2,2,5,1333
2,3,1,1092
2,3,2,1805
2,3,3,1607
2,3,4,1754
2,3,5,1412
3,1,1,2054
3,1,2,1946
3,1,3,1676
3,1,4,1975
3,1,5,1204
3,2,1,1566
3,2,2,2486
3,2,3,1704
3,2,4,2321
3,2,5,1720
3,3,1,2153
3,3,2,2367
3,3,3,2194
3,3,4,2371
3,3,5,2105
4,1,1,631
4,1,2,1449
4,1,3,690
4,1,4,1217
4,1,5,649
4,2,1,988
4,2,2,1200
4,2,3,1318
4,2,4,1299
4,2,5,911
4,3,1,1158
4,3,2,1389
4,3,3,1458
4,3,4,1622
4,3,5,1036
5,1,1,2070
5,1,2,2005
5,1,3,1499
5,1,4,1797
5,1,5,1177
5,2,1,1351
5,2,2,1715
5,2,3,1907
5,2,4,1607
5,2,5,1233
5,3,1,1691
5,3,2,1976
5,3,3,1682
5,3,4,1742
5,3,5,1628
6,1,1,1713
6,1,2,1760
6,1,3,1562
6,1,4,1655
6,1,5,1269
6,2,1,1411
6,2,2,1539
6,2,3,1332
6,2,4,1273
6,2,5,1184
6,3,1,1479
6,3,2,1660
6,3,3,1280
6,3,4,1585
6,3,5,1604
7,1,1,1462
7,1,2,2658
7,1,3,1900
7,1,4,1902
7,1,5,1762
7,2,1,1794
7,2,2,2096
7,2,3,1770
7,2,4,1829
7,2,5,1545
7,3,1,2059
7,3,2,2205
7,3,3,1800
7,3,4,2154
7,3,5,1813
8,1,1,1064
8,1,2,1142
8,1,3,1205
8,1,4,1014
8,1,5,1001
8,2,1,796
8,2,2,1175
8,2,3,1135
8,2,4,963
8,2,5,1068
8,3,1,1437
8,3,2,1603
8,3,3,1543
8,3,4,1158
8,3,5,1146
