Name,ABs,Hs,HRs,Rs,RBIs,BBs,League,Team,Putouts,Assists,Errors,Salary,OBP,DP,BAs
Beniquez,343,103,6,48,36,40,A,Bal.,211,56,13,430,0.37,0.954,0.300
Bonilla,284,69,1,33,18,25,A,Bal.,122,140,5,535,0.30,0.981,0.243
Dempsey,327,68,13,42,29,45,A,Bal.,659,53,7,400,0.30,0.990,0.208
Dwyer,160,39,8,18,31,22,A,Bal.,33,3,0,275,0.34,1.000,0.244
Lacy,491,141,11,77,47,37,A,Bal.,239,8,2,525,0.34,0.992,0.287
Lynn,397,114,23,67,67,53,A,Bal.,244,2,4,535,0.37,0.984,0.287
Murray,495,151,17,61,84,78,A,Bal.,1,045,88,13,2,460,0.40,0.989,0.305
O'Malley,181,46,1,19,18,17,A,Bal.,37,98,9,535,0.32,0.938,0.254
Rayford,210,37,8,15,19,15,A,Bal.,40,115,15,535,0.23,0.912,0.176
Ripken,627,177,25,98,81,70,A,Bal.,240,482,13,1,350,0.35,0.982,0.282
Sheets,338,92,18,42,60,21,A,Bal.,0,0,0,145,0.31,,0.272
Shelby,404,92,11,54,49,18,A,Bal.,222,5,5,300,0.26,0.978,0.228
Traber,212,54,13,28,44,18,A,Bal.,243,23,5,535,0.31,0.982,0.255
Wiggins,239,60,0,30,11,22,A,Bal.,121,151,6,700,0.31,0.978,0.251
Young,369,93,9,43,42,49,A,Bal.,149,1,6,350,0.34,0.962,0.252
Armas,425,425,11,40,58,24,A,Bos.,247,4,8,535,1.00,0.969,1.000
Barrett,625,179,4,94,60,65,A,Bos.,303,450,14,575,0.35,0.982,0.286
Baylor,585,139,31,93,94,62,A,Bos.,0,0,0,950,0.31,,0.238
Boggs,580,207,8,107,71,105,A,Bos.,121,267,19,1,600,0.46,0.953,0.357
Buckner,629,168,18,73,102,40,A,Bos.,1,067,157,14,777,0.31,0.989,0.267
Evans,529,137,26,86,97,97,A,Bos.,280,10,5,933,0.37,0.983,0.259
Gedman,462,119,16,49,65,37,A,Bos.,866,65,6,535,0.31,0.994,0.258
Quinones,312,68,2,32,22,24,A,Bos.,86,150,15,70,0.27,0.940,0.218
Rice,618,200,20,98,110,62,A,Bos.,330,16,8,2,413,0.39,0.977,0.324
Romero,233,49,2,41,23,18,A,Bos.,102,132,10,375,0.27,0.959,0.210
Boone,442,98,7,48,49,43,A,Cal.,812,84,11,535,0.29,0.988,0.222
Burleson,271,77,5,35,29,33,A,Cal.,62,90,3,450,0.36,0.981,0.284
DeCinces,512,131,26,69,96,52,A,Cal.,119,216,12,850,0.32,0.965,0.256
Downing,513,137,20,90,95,90,A,Cal.,267,5,3,900,0.38,0.989,0.267
Grich,313,84,9,42,30,39,A,Cal.,127,221,7,535,0.35,0.980,0.268
Hendrick,283,77,14,45,47,26,A,Cal.,144,6,5,700,0.33,0.968,0.272
Howell,151,41,4,26,21,19,A,Cal.,28,56,2,95,0.35,0.977,0.272
Jackson,419,101,18,65,58,92,A,Cal.,0,0,0,488,0.38,,0.241
Jones,33,6,0,2,4,7,A,Cal.,205,5,4,535,0.33,0.981,0.182
Joyner,593,172,22,82,100,57,A,Cal.,1,222,139,15,165,0.35,0.989,0.290
Pettis,539,139,5,93,58,69,A,Cal.,462,9,7,400,0.34,0.985,0.258
Schofield,458,114,13,67,57,48,A,Cal.,246,389,18,475,0.32,0.972,0.249
Wilfong,288,63,3,25,33,16,A,Cal.,135,257,7,342,0.26,0.982,0.219
Baines,570,169,21,72,88,38,A,Chi.,295,15,5,950,0.34,0.984,0.296
Bonilla,426,109,3,55,43,62,A,Chi.,361,22,2,115,0.35,0.995,0.256
Boston,199,53,5,29,22,21,A,Chi.,152,3,5,75,0.34,0.969,0.266
Cangelosi,438,103,2,65,32,71,A,Chi.,276,7,9,100,0.34,0.969,0.235
Cruz,209,45,0,38,19,42,A,Chi.,132,205,5,535,0.35,0.985,0.215
Fisk,457,101,14,42,63,22,A,Chi.,389,39,4,875,0.26,0.991,0.221
Guillen,547,137,2,58,47,12,A,Chi.,261,459,22,175,0.27,0.970,0.250
Hairston,225,61,5,32,26,26,A,Chi.,132,9,0,535,0.35,1.000,0.271
Hulett,520,120,17,53,44,21,A,Chi.,70,144,11,185,0.26,0.951,0.231
Kittle,376,82,21,42,60,35,A,Chi.,0,0,0,425,0.28,,0.218
Skinner,315,73,5,23,37,16,A,Chi.,227,15,3,110,0.27,0.988,0.232
Tolleson,475,126,3,61,43,52,A,Chi.,37,113,7,385,0.34,0.955,0.265
Walker,282,78,13,37,51,29,A,Chi.,670,57,5,500,0.34,0.993,0.277
Allanson,293,66,1,30,29,14,A,Cle.,446,33,20,535,0.26,0.960,0.225
Bando,254,68,2,28,26,22,A,Cle.,359,30,4,305,0.33,0.990,0.268
Bernazard,562,169,17,88,73,53,A,Cle.,351,442,17,530,0.36,0.979,0.301
Butler,587,163,4,92,51,70,A,Cle.,434,9,3,765,0.35,0.993,0.278
Carter,663,200,29,108,121,32,A,Cle.,241,8,6,250,0.33,0.976,0.302
Castillo,205,57,8,34,32,9,A,Cle.,58,4,4,248,0.31,0.939,0.278
Franco,599,183,10,80,74,32,A,Cle.,231,374,18,775,0.34,0.971,0.306
Hall,442,131,18,68,77,33,A,Cle.,233,7,7,550,0.35,0.972,0.296
Jacoby,583,168,17,83,80,56,A,Cle.,109,292,25,613,0.35,0.941,0.288
Snyder,416,113,24,58,69,16,A,Cle.,203,70,10,90,0.30,0.965,0.272
Tabler,473,154,6,61,48,29,A,Cle.,846,84,9,580,0.36,0.990,0.326
Thornton,401,92,17,49,66,65,A,Cle.,0,0,0,1,100,0.34,,0.229
Brookens,281,76,3,42,25,20,A,Det.,106,144,7,342,0.32,0.973,0.270
Coles,521,142,20,67,86,45,A,Det.,107,242,23,105,0.33,0.938,0.273
Collins,419,113,1,44,27,44,A,Det.,211,2,1,535,0.34,0.995,0.270
Evans,507,122,29,78,85,91,A,Det.,808,108,2,535,0.36,0.998,0.241
Gibson,441,118,28,84,86,68,A,Det.,190,2,2,1,300,0.37,0.990,0.268
Grubb,210,70,13,32,51,28,A,Det.,0,0,0,365,0.41,,0.333
Herndon,283,70,8,33,37,27,A,Det.,156,2,2,225,0.31,0.988,0.247
Lemon,403,101,12,45,53,39,A,Det.,316,6,5,675,0.32,0.985,0.251
Parrish,327,84,22,53,62,38,A,Det.,483,48,6,800,0.33,0.989,0.257
Sheridan,236,56,6,41,19,21,A,Det.,172,1,4,190,0.30,0.977,0.237
Trammell,574,159,21,107,75,59,A,Det.,238,445,22,517,0.34,0.969,0.277
Whitaker,584,157,20,95,73,63,A,Det.,276,421,11,420,0.34,0.984,0.269
Balboni,512,117,29,54,88,43,A,K.C.,1,236,98,18,100,0.29,0.987,0.229
Biancalana,190,46,2,24,8,15,A,K.C.,102,177,16,175,0.30,0.946,0.242
Brett,441,128,16,70,73,80,A,K.C.,97,218,16,1,500,0.40,0.952,0.290
Kingery,209,54,3,25,14,12,A,K.C.,102,6,3,68,0.30,0.973,0.258
Law,307,80,1,42,36,29,A,K.C.,145,2,2,535,0.32,0.987,0.261
McRae,278,70,7,22,37,18,A,K.C.,0,0,0,325,0.30,,0.252
Motley,227,46,7,23,20,12,A,K.C.,92,2,2,535,0.24,0.979,0.203
Orta,336,93,9,35,46,23,A,K.C.,0,0,0,535,0.32,,0.277
Quirk,219,47,8,24,26,17,A,K.C.,260,58,4,535,0.27,0.988,0.215
Salazar,298,73,0,24,24,7,A,K.C.,121,283,9,100,0.26,0.978,0.245
Smith,508,146,8,80,44,46,A,K.C.,245,5,9,535,0.35,0.965,0.287
Sundberg,429,91,12,41,42,57,A,K.C.,686,46,4,825,0.30,0.995,0.212
