nh	female	married	sepdiv	single	ownhh	white	black	hispan	mobility	age	yrsnh	ses	violence	control
1	0	1	0	0	0	0	1	0	1	28	2.5	1.5152	241.03	139.93
1	0	0	0	1	0	0	0	1	0	49	8.6667	-0.2987	291.03	359.93
1	0	0	0	1	1	0	1	0	0	39	11.5	1.0563	240.79	379.93
1	1	0	0	0	0	0	0	1	4	25	1.9167	-1.1237	220.79	339.93
1	1	0	0	1	0	0	0	1	3	32	0.5	-1.1405	160.79	199.93
1	1	0	1	0	0	1	0	0	1	36	2	2.5069	300.79	359.93
1	1	0	0	0	0	0	1	0	1	68	1	0.5984	260.79	419.93
1	1	1	0	0	0	0	0	1	2	29	0.9167	-1.2259	360.79	219.93
1	0	0	0	1	0	1	0	0	3	20	1	0.738	300.79	159.93
1	0	0	0	1	0	0	0	1	0	19	12	0.2467	280.79	219.93
1	1	0	0	1	0	0	1	0	0	18	7	-1.7056	300.79	479.93
1	0	1	0	0	1	1	0	0	1	54	2	0.5477	180.79	299.93
1	1	1	0	0	0	1	0	0	4	24	0.9167	0.7691	300.79	319.93
1	1	0	1	0	1	0	0	1	1	32	2	0.6203	316.03	159.93
1	1	0	0	0	0	0	0	0	0	60	9	-0.627	300.79	379.93
1	0	0	0	0	0	1	0	0	2	36	3	1.2903	320.79	379.93
1	0	0	0	1	0	1	0	0	3	24	0.5	1.3421	160.79	219.93
1	0	0	0	1	0	1	0	0	0	29	9.1667	2.4134	320.79	299.93
1	0	0	0	1	1	1	0	0	0	33	6.25	1.837	260.79	379.93
1	1	0	1	0	0	0	1	0	0	37	9.75	0.6307	266.03	219.93
1	1	0	1	0	0	1	0	0	2	27	4	1.3457	240.79	479.93
1	1	0	1	0	0	0	0	1	4	34	0.5833	-1.1705	300.79	219.93
1	1	0	0	0	0	0	1	0	2	29	2	-0.0404	180.79	259.93
1	1	0	1	0	0	0	0	1	1	39	1	0.5442	346.78	159.93
1	1	0	1	0	0	0	1	0	1	50	2.5	0.9167	320.79	399.93
1	1	1	0	0	0	0	0	1	0	45	18	-0.5378	100.79	159.93
1	0	0	1	0	0	0	0	1	11	39	0.5	-0.0208	380.79	99.93
1	0	0	1	0	0	0	1	0	1	51	5	0.3217	220.79	299.93
1	1	0	0	0	0	0	1	0	3	44	1	-1.4946	320.79	419.93
1	1	0	1	0	0	0	1	0	0	46	12	0.4017	237.26	279.93
1	1	0	0	1	0	1	0	0	2	27	0.0833	0.2025	292.25	259.93
1	1	1	0	0	0	1	0	0	3	27	0.4167	-0.2964	291.03	219.93
1	0	0	1	0	0	1	0	0	0	60	15	0.5181	280.79	159.93
1	0	0	0	1	0	1	0	0	1	57	4.2805	0.0322	180.79	379.93
1	1	0	0	1	0	0	1	0	1	28	1.25	0.9271	230.19	279.93
1	0	0	0	1	0	0	1	0	4	25	0	2.9243	180.79	319.93
1	0	1	0	0	1	1	0	0	0	43	10	2.7214	280.79	339.93
1	1	1	0	0	0	0	0	1	1	29	2.3333	-1.9494	291.03	199.93
1	1	0	0	0	0	0	0	1	0	27	2	-3.9819	291.03	239.93
2	1	0	0	0	0	1	0	0	0	63	15.5	-0.1257	200.79	139.93
2	1	1	0	0	0	0	1	0	2	32	0.1667	0.0553	200.79	359.93
2	0	0	1	0	0	0	0	1	3	41	1.1667	0.0286	NA	299.93
2	1	1	0	0	0	1	0	0	2	34	0.0833	0.0634	105.19	419.93
2	1	1	0	0	0	0	0	1	1	29	3.5	0.3425	300.79	259.93
2	0	0	0	1	0	1	0	0	1	42	4	0.9375	340.79	199.93
2	0	0	0	1	1	1	0	0	1	21	0.5	1.9006	340.79	439.93
2	1	1	0	0	1	0	1	0	1	34	1.5	1.6535	226.5	399.93
2	0	0	0	1	0	0	1	0	3	20	0.1667	0.3309	340.79	99.93
